Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,104196861.0,155.0,29.0,1741147.0,1159832679.0,799.0
2,India,44682784.0,155.0,29.0,1755.0,915265788.0,799.0
3,France,39524311.0,155.0,29.0,95532.0,271490188.0,799.0
4,Germany,37779833.0,155.0,29.0,216022.0,122332384.0,799.0
5,Brazil,36824580.0,155.0,29.0,208134.0,63776166.0,799.0
6,Japan,32588442.0,155.0,29.0,10952618.0,92144639.0,799.0
7,S. Korea,30197066.0,155.0,29.0,422703.0,15804065.0,799.0
8,Italy,25453789.0,155.0,29.0,251970.0,265478247.0,799.0
9,UK,24274361.0,155.0,29.0,50102.0,522526476.0,799.0
10,Russia,21958696.0,155.0,29.0,207580.0,273400000.0,799.0
11,Turkey,17042722.0,155.0,29.0,,162743369.0,799.0
12,Spain,13731478.0,155.0,29.0,55345.0,471036328.0,799.0
13,Vietnam,11526508.0,155.0,29.0,870843.0,85826548.0,799.0
14,Australia,11295446.0,155.0,29.0,41060.0,78835048.0,799.0
15,Argentina,10037135.0,155.0,29.0,29682.0,35716069.0,799.0
16,Taiwan,9569611.0,155.0,29.0,423489.0,30207485.0,799.0
17,Netherlands,8582500.0,155.0,29.0,11740.0,25984435.0,799.0
18,Iran,7564350.0,155.0,29.0,82052.0,54420785.0,799.0
19,Mexico,7368252.0,155.0,29.0,429421.0,19356195.0,799.0
20,Indonesia,6730289.0,155.0,29.0,4264.0,114158919.0,799.0
21,Poland,6380225.0,155.0,29.0,925549.0,38118630.0,799.0
22,Colombia,6356309.0,155.0,29.0,34322.0,36951507.0,799.0
23,Austria,5780229.0,155.0,29.0,28351.0,211273524.0,799.0
24,Greece,5708301.0,155.0,29.0,10459.0,102228365.0,799.0
25,Portugal,5563907.0,155.0,29.0,5519.0,45915651.0,799.0
26,Ukraine,5370131.0,155.0,29.0,5809.0,32603805.0,799.0
27,Chile,5118981.0,155.0,29.0,3614.0,48127301.0,799.0
28,Malaysia,5036593.0,155.0,29.0,9790.0,67665089.0,799.0
29,Israel,4786189.0,155.0,29.0,5754.0,41373364.0,799.0
30,DPRK,4772813.0,74.0,29.0,0.0,,799.0
31,Thailand,4726984.0,155.0,29.0,483.0,17270775.0,799.0
32,Belgium,4691499.0,155.0,29.0,13261.0,36548544.0,799.0
33,Czechia,4590019.0,155.0,29.0,9403.0,56893223.0,799.0
34,Canada,4550256.0,155.0,29.0,55863.0,66343123.0,799.0
35,Peru,4481621.0,155.0,29.0,4002.0,37754603.0,799.0
36,Switzerland,4385701.0,155.0,29.0,4479.0,23318743.0,799.0
37,Philippines,4073454.0,155.0,29.0,9604.0,34343332.0,799.0
38,South Africa,4055966.0,155.0,29.0,40865.0,26473049.0,799.0
39,Romania,3325006.0,155.0,29.0,5326.0,26389988.0,799.0
40,Denmark,3173247.0,155.0,29.0,1253.0,129144754.0,799.0
41,Hong Kong,2877280.0,155.0,29.0,354439.0,76123870.0,799.0
42,Sweden,2693458.0,155.0,29.0,12173.0,19410527.0,799.0
43,Serbia,2471198.0,155.0,29.0,12970.0,12154486.0,799.0
44,Iraq,2465545.0,155.0,29.0,673.0,19544451.0,799.0
45,Singapore,2217110.0,155.0,29.0,70898.0,24756666.0,799.0
46,Hungary,2192447.0,155.0,29.0,3913.0,11394556.0,799.0
47,New Zealand,2182355.0,155.0,29.0,9254.0,7710637.0,799.0
48,Bangladesh,2037556.0,155.0,29.0,15420.0,15247014.0,799.0
49,Slovakia,1860893.0,155.0,29.0,638.0,7390781.0,799.0
50,Georgia,1814180.0,155.0,29.0,20706.0,16920079.0,799.0
51,Jordan,1746997.0,155.0,29.0,1868.0,17201885.0,799.0
52,Ireland,1700253.0,155.0,29.0,6608.0,12984257.0,799.0
53,Pakistan,1576313.0,155.0,29.0,6984.0,30570862.0,799.0
54,Norway,1477856.0,155.0,29.0,909.0,11002430.0,799.0
55,Finland,1458619.0,155.0,29.0,2411.0,12017711.0,799.0
56,Kazakhstan,1405917.0,155.0,29.0,9202.0,11575012.0,799.0
57,Slovenia,1321852.0,155.0,29.0,3637.0,2824843.0,799.0
58,Lithuania,1296865.0,155.0,29.0,4792.0,10350770.0,799.0
59,Bulgaria,1295426.0,155.0,29.0,2756.0,10987749.0,799.0
60,Morocco,1272240.0,155.0,29.0,63.0,12930733.0,799.0
61,Croatia,1267580.0,155.0,29.0,535.0,5476183.0,799.0
62,Lebanon,1228639.0,155.0,29.0,130262.0,4795578.0,799.0
63,Guatemala,1227853.0,155.0,29.0,3202.0,6757892.0,799.0
64,Bolivia,1187986.0,155.0,29.0,19497.0,2705422.0,799.0
65,Costa Rica,1186176.0,155.0,29.0,316307.0,4659757.0,799.0
66,Tunisia,1150356.0,155.0,29.0,,4997373.0,799.0
67,Cuba,1112438.0,155.0,29.0,109.0,14298479.0,799.0
68,Ecuador,1051239.0,155.0,29.0,3615.0,3082403.0,799.0
69,UAE,1049409.0,155.0,29.0,14326.0,198638806.0,799.0
70,Uruguay,1032710.0,155.0,29.0,1162.0,6114822.0,799.0
71,Panama,1029701.0,155.0,29.0,899.0,7475016.0,799.0
72,Mongolia,1007871.0,155.0,29.0,34.0,4030048.0,799.0
73,Nepal,1001102.0,155.0,29.0,18.0,6003944.0,799.0
74,Belarus,994037.0,155.0,29.0,1327.0,13646641.0,799.0
75,Latvia,975355.0,155.0,29.0,307.0,7858319.0,799.0
76,Saudi Arabia,827962.0,155.0,29.0,2860.0,45048008.0,799.0
77,Azerbaijan,827944.0,155.0,29.0,205.0,7487550.0,799.0
78,Paraguay,806256.0,155.0,29.0,,2657506.0,799.0
79,Bahrain,700452.0,155.0,29.0,509.0,10682444.0,799.0
80,Sri Lanka,671989.0,155.0,29.0,3.0,6486117.0,799.0
81,Kuwait,662858.0,155.0,29.0,51.0,8455743.0,799.0
82,Dominican Republic,660095.0,155.0,29.0,10926.0,3740928.0,799.0
83,Cyprus,642663.0,155.0,29.0,7954.0,9640118.0,799.0
84,Myanmar,633820.0,155.0,29.0,31.0,9941945.0,799.0
85,Palestine,621008.0,155.0,29.0,159.0,3078533.0,799.0
86,Estonia,613891.0,155.0,29.0,85989.0,3659157.0,799.0
87,Moldova,598673.0,155.0,29.0,82578.0,3216305.0,799.0
88,Venezuela,551587.0,155.0,29.0,739.0,3359014.0,799.0
89,Egypt,515645.0,155.0,29.0,48850.0,3693367.0,799.0
90,Libya,507162.0,155.0,29.0,4.0,2483446.0,799.0
