Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,104196861.0,155.0,29.0,1741147.0,1159832679.0,799.0
2,India,44682784.0,155.0,29.0,1755.0,915265788.0,799.0
3,France,39524311.0,155.0,29.0,95532.0,271490188.0,799.0
4,Germany,37779833.0,155.0,29.0,216022.0,122332384.0,799.0
5,Brazil,36824580.0,155.0,29.0,208134.0,63776166.0,799.0
6,Japan,32588442.0,155.0,29.0,10952618.0,92144639.0,799.0
7,S. Korea,30197066.0,155.0,29.0,422703.0,15804065.0,799.0
8,Italy,25453789.0,155.0,29.0,251970.0,265478247.0,799.0
9,UK,24274361.0,155.0,29.0,50102.0,522526476.0,799.0
10,Russia,21958696.0,155.0,29.0,207580.0,273400000.0,799.0
11,Turkey,17042722.0,155.0,29.0,,162743369.0,799.0
12,Spain,13731478.0,155.0,29.0,55345.0,471036328.0,799.0
13,Vietnam,11526508.0,155.0,29.0,870843.0,85826548.0,799.0
14,Australia,11295446.0,155.0,29.0,41060.0,78835048.0,799.0
15,Argentina,10037135.0,155.0,29.0,29682.0,35716069.0,799.0
16,Taiwan,9569611.0,155.0,29.0,423489.0,30207485.0,799.0
17,Netherlands,8582500.0,155.0,29.0,11740.0,25984435.0,799.0
18,Iran,7564350.0,155.0,29.0,82052.0,54420785.0,799.0
19,Mexico,7368252.0,155.0,29.0,429421.0,19356195.0,799.0
20,Indonesia,6730289.0,155.0,29.0,4264.0,114158919.0,799.0
21,Poland,6380225.0,155.0,29.0,925549.0,38118630.0,799.0
22,Colombia,6356309.0,155.0,29.0,34322.0,36951507.0,799.0
23,Austria,5780229.0,155.0,29.0,28351.0,211273524.0,799.0
24,Greece,5708301.0,155.0,29.0,10459.0,102228365.0,799.0
25,Portugal,5563907.0,155.0,29.0,5519.0,45915651.0,799.0
26,Ukraine,5370131.0,155.0,29.0,5809.0,32603805.0,799.0
27,Chile,5118981.0,155.0,29.0,3614.0,48127301.0,799.0
28,Malaysia,5036593.0,155.0,29.0,9790.0,67665089.0,799.0
29,Israel,4786189.0,155.0,29.0,5754.0,41373364.0,799.0
30,DPRK,4772813.0,74.0,29.0,0.0,,799.0
31,Thailand,4726984.0,155.0,29.0,483.0,17270775.0,799.0
32,Belgium,4691499.0,155.0,29.0,13261.0,36548544.0,799.0
33,Czechia,4590019.0,155.0,29.0,9403.0,56893223.0,799.0
34,Canada,4550256.0,155.0,29.0,55863.0,66343123.0,799.0
35,Peru,4481621.0,155.0,29.0,4002.0,37754603.0,799.0
36,Switzerland,4385701.0,155.0,29.0,4479.0,23318743.0,799.0
37,Philippines,4073454.0,155.0,29.0,9604.0,34343332.0,799.0
38,South Africa,4055966.0,155.0,29.0,40865.0,26473049.0,799.0
39,Romania,3325006.0,155.0,29.0,5326.0,26389988.0,799.0
40,Denmark,3173247.0,155.0,29.0,1253.0,129144754.0,799.0
41,Hong Kong,2877280.0,155.0,29.0,354439.0,76123870.0,799.0
42,Sweden,2693458.0,155.0,29.0,12173.0,19410527.0,799.0
43,Serbia,2471198.0,155.0,29.0,12970.0,12154486.0,799.0
44,Iraq,2465545.0,155.0,29.0,673.0,19544451.0,799.0
45,Singapore,2217110.0,155.0,29.0,70898.0,24756666.0,799.0
46,Hungary,2192447.0,155.0,29.0,3913.0,11394556.0,799.0
47,New Zealand,2182355.0,155.0,29.0,9254.0,7710637.0,799.0
48,Bangladesh,2037556.0,155.0,29.0,15420.0,15247014.0,799.0
49,Slovakia,1860893.0,155.0,29.0,638.0,7390781.0,799.0
50,Georgia,1814180.0,155.0,29.0,20706.0,16920079.0,799.0
